sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	891531
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	610809
urn:ordercomms:code-battery-code	RBC|HB	Chem/Haem|Antenatal FBC|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	22706
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	14432
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	7456
urn:ordercomms:code-battery-code	RBC|FOQT	Chem/Haem|FOQ (TAUNTON)|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	6190
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	6103
urn:ordercomms:code-battery-code	RBC|HYPO	Chem/Haem|% Hypochromic Cells|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	408
urn:ordercomms:code-battery-code	RBC|FOQY	Chem/Haem|FOQ (YEOVIL)|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	399
urn:ordercomms:code-battery-code	RBC|HYPO	Chem/Haem|% Hypochromic Cells|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	247
urn:ordercomms:code-battery-code	RBC|B	Chem/Haem|Full Blood Count|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	153
urn:ordercomms:code-battery-code	RBC|FOQT	Chem/Haem|FOQ (TAUNTON)|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	104
urn:ordercomms:code-battery-code	RBC|HBOP	Chem/Haem|HAEMOGLOBINOPATHY SCREEN|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	102
urn:ordercomms:code-battery-code	RBC|HB	Chem/Haem|Antenatal FBC|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	76
urn:ordercomms:code-battery-code	RBC|HBOP	Chem/Haem|HAEMOGLOBINOPATHY SCREEN|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	71
urn:ordercomms:code-battery-code	RBC|HBOP	Chem/Haem|HAEMOGLOBINOPATHY SCREEN|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	47
urn:ordercomms:code-battery-code	RBC|FOQT	Chem/Haem|FOQ (TAUNTON)|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	22
urn:ordercomms:code-battery-code	RBC|FOQY	Chem/Haem|FOQ (YEOVIL)|RBC	1	1	Measurement	3020416	Erythrocytes [#/volume] in Blood by Automated count	8
urn:ordercomms:code-battery-code	RBC|UMIC	Microbiology|Urine - Bag Urine|Red Blood Cells....:	1	1	Measurement	3046326	RBC casts [Presence] in Urine sediment by Light microscopy	22
urn:ordercomms:code-battery-code	RBC|UMIC	Microbiology|Urine - Bag Urine|Red Blood Cells....:	1	1	Measurement	3046326	RBC casts [Presence] in Urine sediment by Light microscopy	5
urn:ordercomms:code-battery-code	RBC|UMIC	Microbiology|Urine microscopy|Red Blood Cells....:	1	1	Measurement	3046326	RBC casts [Presence] in Urine sediment by Light microscopy	146310
