sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	S	S	1	1	Meas Value	4307105	Sensitive	1783856
urn:ordercomms:rtest:textual-result	MRSA NOT isolated	MRSA NOT isolated	0.455668946	1	Meas Value	4142856	Not isolated	937885
urn:ordercomms:rtest:textual-result	None seen	None seen	0.183503419	1	Meas Value	9190	Not detected	683113
urn:ordercomms:rtest:textual-result	R	R	1	1	Meas Value	4148441	Resistant	661750
urn:ordercomms:rtest:textual-result	MRSA NOT ISOLATED after 24 hrs.	MRSA NOT ISOLATED after 24 hrs.	0.267480126	1	Meas Value	4142856	Not isolated	346932
urn:ordercomms:rtest:textual-result	No growth after 2 days incubation	No growth after 2 days incubation	0.225403331	1	Meas Value	4139623	No growth	327295
urn:ordercomms:rtest:textual-result	Culture NOT indicated	Culture NOT indicated	1	1	Meas Value	4259516	Not indicated	267302
urn:ordercomms:rtest:textual-result	Coliform	Coliform	0.314005659	1	Meas Value	4299510	Coliform bacteria	182172
urn:ordercomms:rtest:textual-result	Heavy growth	Heavy growth	1	1	Meas Value	4125547	+++	143256
urn:ordercomms:rtest:textual-result	Growth	Growth	0.32063378	1	Meas Value	4126681	Detected	132814
urn:ordercomms:rtest:textual-result	Staphylococcus aureus	Staphylococcus aureus	1	1	Meas Value	4149419	Staphylococcus aureus	120783
urn:ordercomms:rtest:textual-result	Cryptosporidium and Giardia NOT detected.	Cryptosporidium and Giardia NOT detected.		1	Meas Value	9190	Not detected	110784
urn:ordercomms:rtest:textual-result	NOT TESTED	NOT TESTED	0.209430585	1	Meas Value	45884199	Test not performed	109942
urn:ordercomms:rtest:textual-result	Escherichia coli	Escherichia coli	1	1	Meas Value	4011683	Escherichia coli	101379
urn:ordercomms:rtest:textual-result	Moderate growth	Moderate growth	1	1	Meas Value	4126673	++	99159
urn:ordercomms:rtest:textual-result	"Ova, cysts and parasites NOT seen"	"Ova, cysts and parasites NOT seen"	0.152681454	1	Meas Value	9190	Not detected	82758
urn:ordercomms:rtest:textual-result	Light growth	Light growth	0.276253136	1	Meas Value	4123508	+	76769
urn:ordercomms:rtest:textual-result	No Organisms Seen	No Organisms Seen	0.115348263	1	Meas Value	9190	Not detected	69260
urn:ordercomms:rtest:textual-result	Candida sp.	Candida sp.	0.5	1	Meas Value	4139129	Candida	68868
urn:ordercomms:rtest:textual-result	NOT detected	NOT detected	1	1	Meas Value	9190	Not detected	54827
urn:ordercomms:rtest:textual-result	Fungal elements NOT seen	Fungal elements NOT seen	0.204177574	1	Meas Value	9190	Not detected	52331
urn:ordercomms:rtest:textual-result	No evidence of Bacterial Vaginosis (BV).	No evidence of Bacterial Vaginosis (BV).	0.175836616	1	Meas Value	9190	Not detected	51318
