sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:npi-synonym:from-code	XCHES	XR Chest	0.452277442	1	Measurement	3010713	XR Chest Views	310774
urn:ordercomms:npi-synonym:from-code	UABDO	US Abdomen	1	1	Measurement	3014650	US Abdomen	47135
urn:ordercomms:npi-synonym:from-code	CSKUH	CT Head	1	1	Measurement	3004287	CT Head	41405
urn:ordercomms:npi-synonym:from-code	XPELV	XR Pelvis	0.477767032	1	Measurement	3011632	XR Pelvis Views	38067
urn:ordercomms:npi-synonym:from-code	XKNER	XR Knee Rt	0.422649731	1	Measurement	3018468	XR Knee Views	29224
urn:ordercomms:npi-synonym:from-code	XABDO	XR Abdomen	0.5	1	Measurement	3053099	XR Abdomen Views	29161
urn:ordercomms:npi-synonym:from-code	XLSPN	XR Lumbar Spine	0.579915975	1	Measurement	3034396	XR Lumbar spine Views	28077
urn:ordercomms:npi-synonym:from-code	XKNEL	XR Knee Lt	0.422649731	1	Measurement	3018468	XR Knee Views	26270
urn:ordercomms:npi-synonym:from-code	UUTR	US Urinary tract	0.399074787	1	Measurement	3039521	US Genitourinary tract	23452
urn:ordercomms:npi-synonym:from-code	XFOOR	XR Foot Rt	0.422649731	1	Measurement	3021549	XR Foot Views	22853
urn:ordercomms:npi-synonym:from-code	XFOOL	XR Foot Lt	0.422649731	1	Measurement	3021549	XR Foot Views	21828
urn:ordercomms:npi-synonym:from-code	XSHRR	XR Shoulder Rt	0.508696316	1	Measurement	3007342	XR Shoulder Views	19705
urn:ordercomms:npi-synonym:from-code	XANKR	XR Ankle Rt	0.448322716	1	Measurement	3004662	XR Ankle Views	19222
urn:ordercomms:npi-synonym:from-code	XHIPR	XR Hip Rt	0.393023021	1	Measurement	3016057	XR Hip Views	18942
urn:ordercomms:npi-synonym:from-code	UPELA	US Pelvis (Transabdominal)	0.282259437	1	Measurement	3000777	US Pelvis	17976
urn:ordercomms:npi-synonym:from-code	XANKL	XR Ankle Lt	0.448322716	1	Measurement	3004662	XR Ankle Views	17957
urn:ordercomms:npi-synonym:from-code	XWRIL	XR Wrist Lt	0.448322716	1	Measurement	3025667	XR Wrist Views	17571
urn:ordercomms:npi-synonym:from-code	UPELD	US Pelvis (Transanal \T\ Transvagin	0.412246186	1	Measurement	3018554	US Pelvis transvaginal	17494
urn:ordercomms:npi-synonym:from-code	XSHRL	XR Shoulder Lt	0.508696316	1	Measurement	3007342	XR Shoulder Views	17208
urn:ordercomms:npi-synonym:from-code	XHANR	XR Hand Rt	0.422649731	1	Measurement	3025885	XR Hand Views	17198
urn:ordercomms:npi-synonym:from-code	XCSPN	XR Cervical Spine	0.602640293	1	Measurement	3023423	XR Cervical spine Views	16647
urn:ordercomms:npi-synonym:from-code	XWRIR	XR Wrist Rt	0.448322716	1	Measurement	3025667	XR Wrist Views	16477
urn:ordercomms:npi-synonym:from-code	XHIPL	XR Hip Lt	0.393023021	1	Measurement	3016057	XR Hip Views	16416
urn:ordercomms:npi-synonym:from-code	UPETV	US Pelvis (Transvaginal)	0.547732983	1	Measurement	3018554	US Pelvis transvaginal	13741
urn:ordercomms:npi-synonym:from-code	UURTR	US Urinary Tract	0.399074787	1	Measurement	3039521	US Genitourinary tract	13573
urn:ordercomms:npi-synonym:from-code	CABPEC	CT Abdomen and pelvis with contrast	0.562762684	1	Measurement	3047782	CT Abdomen and Pelvis W contrast IV	13002
urn:ordercomms:npi-synonym:from-code	UPELV	US Pelvis	1	1	Measurement	3000777	US Pelvis	11639
urn:ordercomms:npi-synonym:from-code	XHANL	XR Hand Lt	0.422649731	1	Measurement	3025885	XR Hand Views	11273
urn:ordercomms:npi-synonym:from-code	UMAML	US Breast Lt	0.445299804	1	Measurement	3006495	US Breast - left	10024
urn:ordercomms:npi-synonym:from-code	XTSPN	XR Thoracic Spine	0.602640293	1	Measurement	3018634	XR Thoracic spine Views	9794
urn:ordercomms:npi-synonym:from-code	UMAMR	US Breast Rt	0.422649731	1	Measurement	3022956	US Breast - right	9222
urn:ordercomms:npi-synonym:from-code	XKNEB	XR Knees	0.393023021	1	Measurement	3018468	XR Knee Views	9055
urn:ordercomms:npi-synonym:from-code	CAPUG	CT Angiogram Pulmonary	0.248932384	1	Measurement	3046398	CT Pulmonary system	8803
urn:ordercomms:npi-synonym:from-code	XHANB	XR Hands	0.393023021	1	Measurement	3025885	XR Hand Views	8391
urn:ordercomms:npi-synonym:from-code	XHIPB	XR Hips	0.358311052	1	Measurement	3016057	XR Hip Views	7813
urn:ordercomms:npi-synonym:from-code	CABPC	CT Abdomen/Pelvis With Contrast	0.362622561	1	Measurement	3047782	CT Abdomen and Pelvis W contrast IV	7094
urn:ordercomms:npi-synonym:from-code	XELBR	XR Elbow Rt	0.448322716	1	Measurement	3018003	XR Elbow Views	7036
urn:ordercomms:npi-synonym:from-code	XELBL	XR Elbow Lt	0.448322716	1	Measurement	3018003	XR Elbow Views	6968
