local_id	search_term	review	similarity	concept_id	concept_name	occurrence				
XCHES	XR Chest	0	0.579915975	3052492	XR Chest AP	310774				
XCHES	XR Chest	1	0.452277442	3010713	XR Chest Views	310774				
XCHES	XR Chest	0	0.396977311	3025426	XR Chest Oblique	310774				
XCHES	XR Chest	0	0.345346329	3010716	MR Chest	310774				
XCHES	XR Chest	0	0.244071054	3026631	US Chest	310774				
UABDO	US Abdomen	1	1	3014650	US Abdomen	47135				
UABDO	US Abdomen	0	0.573598567	3015868	US Abdomen RUQ	47135				
UABDO	US Abdomen	0	0.445299804	3009344	US Abdomen limited	47135				
UABDO	US Abdomen	0	0.333333333	3013540	MR Abdomen	47135				
UABDO	US Abdomen	0	0.333333333	3032013	CT Abdomen	47135				
CSKUH	CT Head	1	1	3004287	CT Head	41405				
CSKUH	CT Head	0	0.519615539	40761838	CT Heart	41405				
CSKUH	CT Head	0	0.325800138	3047946	CT Hip	41405				
CSKUH	CT Head	0	0.292893219	3048324	CT Hand	41405				
CSKUH	CT Head	0	0.183503419	3048029	CT Knee	41405				
XPELV	XR Pelvis	0	0.602640293	3049253	XR Pelvis AP	38067				
XPELV	XR Pelvis	0	0.477767032	3047441	XR Pelvis Inlet	38067				
XPELV	XR Pelvis	1	0.477767032	3011632	XR Pelvis Views	38067				
XPELV	XR Pelvis	0	0.448322716	3049957	XR Pelvis Outlet	38067				
XPELV	XR Pelvis	0	0.387627564	3021689	MR Pelvis	38067				
XKNER	XR Knee Rt	0	0.528595479	3050278	XR Knee AP	29224				
XKNER	XR Knee Rt	1	0.422649731	3018468	XR Knee Views	29224				
XKNER	XR Knee Rt	0	0.396977311	3011606	XR Knee Tunnel	29224				
XKNER	XR Knee Rt	0	0.396977311	3049625	XR Knee Laurin	29224				
XKNER	XR Knee Rt	0	0.374456758	3017880	XR Knee 3 Views	29224				
XABDO	XR Abdomen	0	0.622035527	3001757	XR Abdomen AP	29161				
XABDO	XR Abdomen	1	0.5	3053099	XR Abdomen Views	29161				
XABDO	XR Abdomen	0	0.445299804	3051431	XR Abdomen Oblique	29161				
XABDO	XR Abdomen	0	0.445299804	3051459	XR Abdomen 3 Views	29161				
XABDO	XR Abdomen	0	0.422649731	3013540	MR Abdomen	29161				
XLSPN	XR Lumbar Spine	0	0.688914492	3009561	XR Lumbar spine AP	28077				
XLSPN	XR Lumbar Spine	1	0.579915975	3034396	XR Lumbar spine Views	28077				
XLSPN	XR Lumbar Spine	0	0.53708995	3012445	MR Lumbar spine	28077				
XLSPN	XR Lumbar Spine	0	0.528595479	3015017	XR Lumbar spine Oblique	28077				
XLSPN	XR Lumbar Spine	0	0.528595479	3037425	XR Lumbar spine 3 Views	28077				
XKNEL	XR Knee Lt	0	0.528595479	3050278	XR Knee AP	26270				
XKNEL	XR Knee Lt	0	0.477767032	3049625	XR Knee Laurin	26270				
XKNEL	XR Knee Lt	0	0.448322716	3051855	XR Knee Lateral	26270				
XKNEL	XR Knee Lt	1	0.422649731	3018468	XR Knee Views	26270				
XKNEL	XR Knee Lt	0	0.396977311	3011606	XR Knee Tunnel	26270				
UANOM	US Obstetric Foetal Anomaly Scan	0	0.156725957	36304866	Obstetrics Note	25311				
UUTR	US Urinary tract	1	0.399074787	3039521	US Genitourinary tract	23452				
UUTR	US Urinary tract	0	0.387627564	3014927	US Urinary bladder	23452				
UUTR	US Urinary tract	0	0.105572809	3008991	US Hip	23452				
UUTR	US Urinary tract	0	0.100264589	3006984	US Anus	23452				
UUTR	US Urinary tract	0	0.100264589	3004062	US Neck	23452				
XFOOR	XR Foot Rt	0	0.528595479	3050473	XR Foot AP	22853				
XFOOR	XR Foot Rt	1	0.422649731	3021549	XR Foot Views	22853				
