sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:epro:speciaties:national-code	995	not known	0.202275965	1	Document Type	3030653	Note	-1
urn:epro:speciaties:national-code	993	all	0.183503419	1	Document Type	3030653	Note	-1
urn:epro:speciaties:national-code	100	general surgery	0.2	1	Document Type	3033187	Surgery Note	-1
urn:epro:speciaties:national-code	101	urology	0.457673855	1	Document Type	3031785	Urology Note	-1
urn:epro:speciaties:national-code	110	trauma & orthopaedics	0.222406814	1	Document Type	3031179	Orthopaedic surgery Note	-1
urn:epro:speciaties:national-code	120	ent	1	1	Document Type	3031204	Otolaryngology Note	-1
urn:epro:speciaties:national-code	102	transplantation surgery	0.378418439	1	Document Type	40771403	Transplant surgery Note	-1
urn:epro:speciaties:national-code	130	ophthalmology	0.584772601	1	Document Type	3032610	Ophthalmology Note	-1
urn:epro:speciaties:national-code	140	oral surgery	0.231293885	1	Document Type	3033187	Surgery Note	-1
urn:epro:speciaties:national-code	141	restorative dentistry	0.221501056	1	Document Type	3037691	Dentistry Note	-1
urn:epro:speciaties:national-code	105	hepatobiliary & pancreatic surgery	0.112737895	1	Document Type	42528146	Hepatology Note	-1
urn:epro:speciaties:national-code	142	paediatric dentistry	0.22944825	1	Document Type	3037691	Dentistry Note	-1
urn:epro:speciaties:national-code	106	upper gastrointestinal surgery	0.119659157	1	Document Type	3033187	Surgery Note	-1
urn:epro:speciaties:national-code	143	orthodontics	0.133974596	1	Document Type	46235033	Orthotics prosthetics Note	-1
urn:epro:speciaties:national-code	145	oral & maxillofacial surgery	0.48785248	1	Document Type	3031155	Oral and Maxillofacial Surgery Note	-1
urn:epro:speciaties:national-code	146	endodontics	0.118082896	1	Document Type	3030653	Note	-1
urn:epro:speciaties:national-code	147	periodontics	1	1	Document Type	3030653	Note	-1
urn:epro:speciaties:national-code	148	prosthodontics	1	1	Document Type	3030653	Note	-1
urn:epro:speciaties:national-code	149	surgical dentistry	0.247227347	1	Document Type	3037691	Dentistry Note	-1
urn:epro:speciaties:national-code	150	neurosurgery	0.244071054	1	Document Type	3030906	Neurological surgery Note	-1
urn:epro:speciaties:national-code	160	plastic surgery	0.610750528	1	Document Type	3032905	Plastic surgery Note	-1
