sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:sample-synonym:from-code	BLOOD	BLOOD	1	1	Specimen	4001225	Blood specimen	22147012
urn:ordercomms:sample-synonym:from-code	Mid-stream Urine	Mid-stream Urine	1	1	Specimen	4046280	Urine specimen	1290839
urn:ordercomms:sample-synonym:from-code	Blood Transfusion	Blood Transfusion	1	1	Specimen	4001225	Blood specimen	950149
urn:ordercomms:sample-synonym:from-code	Cervical smear	Cervical smear	1	1	Specimen	4170963	Cervical smear sample	941418
urn:ordercomms:sample-synonym:from-code	MRSA Screen	MRSA Screen	1	1	Specimen	4120698	Swab	528210
urn:ordercomms:sample-synonym:from-code	Urine (unspecified)	Urine (unspecified)	1	1	Specimen	4046280	Urine specimen	513942
urn:ordercomms:sample-synonym:from-code	URINE	URINE	1	1	Specimen	4046280	Urine specimen	444244
urn:ordercomms:sample-synonym:from-code	FAECES	FAECES	1	1	Specimen	4002879	Stool specimen	369482
urn:ordercomms:sample-synonym:from-code	Clotted Blood	Clotted Blood	1	1	Specimen	4001225	Blood specimen	329626
urn:ordercomms:sample-synonym:from-code	Blood Culture	Blood Culture	1	1	Specimen	4001225	Blood specimen	306151
urn:ordercomms:sample-synonym:from-code	Staph. Screen	Staph. Screen	1	1	Specimen	4120698	Swab	275570
urn:ordercomms:sample-synonym:from-code	High vaginal swab	High vaginal swab	1	1	Specimen	4124278	High vaginal swab	244767
urn:ordercomms:sample-synonym:from-code	Wound Swab	Wound Swab	1	1	Specimen	4120347	Wound swab	170387
urn:ordercomms:sample-synonym:from-code	Catheter Urine	Catheter Urine	1	1	Specimen	4046280	Urine specimen	147056
urn:ordercomms:sample-synonym:from-code	SKIN BIOPSY	SKIN BIOPSY	1	1	Specimen	4121220	Biopsy sample	132198
urn:ordercomms:sample-synonym:from-code	Sputum	Sputum	1	1	Specimen	4002876	Sputum specimen	104074
urn:ordercomms:sample-synonym:from-code	Cervical swab	Cervical swab	1	1	Specimen	4120698	Swab	101619
urn:ordercomms:sample-synonym:from-code	Unknown	Unknown	0	0	Specimen	0	Unknown	70130
urn:ordercomms:sample-synonym:from-code	Low vaginal swab	Low vaginal swab	1	1	Specimen	4120698	Swab	63443
urn:ordercomms:sample-synonym:from-code	Urethral swab	Urethral swab	1	1	Specimen	4120698	Swab	50388
urn:ordercomms:sample-synonym:from-code	Spatula and brush	Spatula and brush	1	1	Specimen	4170963	Cervical smear sample	47837
urn:ordercomms:sample-synonym:from-code	Throat Swab	Throat Swab	1	1	Specimen	4120698	Swab	45128
urn:ordercomms:sample-synonym:from-code	Ear swab	Ear swab	1	1	Specimen	4120698	Swab	40719
urn:ordercomms:sample-synonym:from-code	ECX	ECX	0	0	Specimen	0	Unknown	33154
urn:ordercomms:sample-synonym:from-code	Toe nail	Toe nail	1	1	Specimen	4000618	Nail specimen	32329
urn:ordercomms:sample-synonym:from-code	CHU	CHU	0	0	Specimen	0	Unknown	30194
urn:ordercomms:sample-synonym:from-code	CSF	CSF	1	1	Specimen	4124259	Cerebrospinal fluid sample	28960
urn:ordercomms:sample-synonym:from-code	PLEURAL FLUID	PLEURAL FLUID	1	1	Specimen	4302933	Pleural fluid specimen	24496
urn:ordercomms:sample-synonym:from-code	Endocervical swab	Endocervical swab	1	1	Specimen	4120698	Swab	23229
urn:ordercomms:sample-synonym:from-code	SKIN CURETTINGS	SKIN CURETTINGS	1	1	Specimen	4121221	Curettings	21243
urn:ordercomms:sample-synonym:from-code	Chlamydia urine	Chlamydia urine	1	1	Specimen	4046280	Urine specimen	21117
urn:ordercomms:sample-synonym:from-code	Nail	Nail	1	1	Specimen	4000618	Nail specimen	20970
urn:ordercomms:sample-synonym:from-code	Vaginal Swab	Vaginal Swab	1	1	Specimen	4120698	Swab	20524
