sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:omop-build:master-index:Gender	M	Male	1	1	Gender	8507	MALE	-1
urn:omop-build:master-index:Gender	F	Female	1	1	Gender	8532	FEMALE	-1
urn:omop-build:master-index:Gender	U	Unknown	1	1	Gender	0	Unknown concept	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Emergency|RBA11:Emergency Department	Emergency|RBA11:Emergency Department	1	1	Visit	9203	Emergency Room Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Acorn Ward	Inpatient|RBA11:Acorn Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Acute Medical Unit	Inpatient|RBA11:Acute Medical Unit	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Ambulatory Emergency Care	Inpatient|RBA11:Ambulatory Emergency Care	1	1	Visit	9203	Emergency Room Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Barrington Ward	Inpatient|RBA11:Barrington Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Beacon	Inpatient|RBA11:Beacon	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Beacon Day Unit	Inpatient|RBA11:Beacon Day Unit	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Beacon Ward	Inpatient|RBA11:Beacon Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Blake Day Case	Inpatient|RBA11:Blake Day Case	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Blake Ward	Inpatient|RBA11:Blake Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Bracken Birth Centre	Inpatient|RBA11:Bracken Birth Centre	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Cardiac Catheter Laboratory	Inpatient|RBA11:Cardiac Catheter Laboratory	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Coleridge Ward	Inpatient|RBA11:Coleridge Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Conservators Ward	Inpatient|RBA11:Conservators Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Coronary Care Unit	Inpatient|RBA11:Coronary Care Unit	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Day Surgery Ward	Inpatient|RBA11:Day Surgery Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Derm Max-Fax	Inpatient|RBA11:Derm Max-Fax	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Dermatology Procedure Room	Inpatient|RBA11:Dermatology Procedure Room	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Discharge Lounge	Inpatient|RBA11:Discharge Lounge	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Dunkery Ward	Inpatient|RBA11:Dunkery Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Eliot Ward	Inpatient|RBA11:Eliot Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Endoscopy Suite	Inpatient|RBA11:Endoscopy Suite	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Exmoor Ward	Inpatient|RBA11:Exmoor Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Fern Ward	Inpatient|RBA11:Fern Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Fielding Ward	Inpatient|RBA11:Fielding Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Gen Th PACU	Inpatient|RBA11:Gen Th PACU	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Gould Ward	Inpatient|RBA11:Gould Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:H+N Th PACU	Inpatient|RBA11:H+N Th PACU	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Hestercombe Ward	Inpatient|RBA11:Hestercombe Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:High Dependency Unit	Inpatient|RBA11:High Dependency Unit	1	1	Visit	32037	Intensive Care	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Home Birth Ward	Inpatient|RBA11:Home Birth Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Intensive Therapy Unit	Inpatient|RBA11:Intensive Therapy Unit	1	1	Visit	32037	Intensive Care	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Jowett Ward	Inpatient|RBA11:Jowett Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Labour Ward	Inpatient|RBA11:Labour Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Medical Day Centre	Inpatient|RBA11:Medical Day Centre	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Mendip Ward	Inpatient|RBA11:Mendip Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Montacute Ward	Inpatient|RBA11:Montacute Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Oak Ward	Inpatient|RBA11:Oak Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Ortho Th PACU	Inpatient|RBA11:Ortho Th PACU	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Parkside Ward	Inpatient|RBA11:Parkside Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Portman Ward	Inpatient|RBA11:Portman Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:Sheppard Ward	Inpatient|RBA11:Sheppard Ward	1	1	Visit	9201	Inpatient Visit	-1
urn:trinetx:tbl-trinetx-encounter:Location-id	Inpatient|RBA11:SNICU	Inpatient|RBA11:SNICU	1	1	Visit	32037	Intensive Care	-1
